scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Puccinia aegopodii (F. Strauss) Röhl. 	103	3	9	17.VI.1899	05.IX.2002	1899-06-17/2002-09-05	species	Pucciniaceae	parasite of: Aegopodium podagraria	present	native
Puccinia albescens Plowr. 	104	3	9	07.IV.1878	12.IV.2009	1878-04-07/2009-04-12	species	Pucciniaceae	parasite of: Adoxa moschatellina	present	native
Puccinia allii F. Rudolphi 	105	3	9	19.XI.1974	28.VI.2010	1974-11-19/2010-06-28	species	Pucciniaceae	parasite of: Allium porrum| parasite of: Allium sativum| parasite of: Allium scorodoprasum| parasite of: Allium sphaerocephalon| parasite of: Allium vineale	present	
Puccinia angelicae (Schumach.) Fuckel 	106	3	10				species	Pucciniaceae	parasite of: Angelica sylvestris| parasite of: Peucedanum palustre| parasite of: Silaum silaus| parasite of: Selinum carvifolia	present	
Puccinia annularis (F. Strauss) Röhl. 	107	3	11	29.VIII.1856	10.XI.1996	1856-08-29/1996-11-10	species	Pucciniaceae	parasite of: Teucrium scorodonia| parasite of: Teucrium botrys	present	native
Puccinia antirrhini Dietel & Holw. 	108	3	11	VII.1947		1947-07	species	Pucciniaceae	parasite of: Antirrhinum majus	present	alien
Puccinia apii Desm. 	109	3	11	1878		1878	species	Pucciniaceae	parasite of: Apium graveolens	present	
Puccinia arenariae (Schumach.) G. Winter	110	3	11	12.VII.1856	28.X.2007	1856-07-12/2007-10-28	species	Pucciniaceae	parasite of: Cerastium| parasite of: Dianthus barbatus| parasite of: Herniaria hirsuta| parasite of: Moehringia trinervia| parasite of: Myosoton aquaticum| parasite of: Silene dioica| parasite of: Silene latifolia subsp. alba| parasite of: Spergula arvensis| parasite of: Stellaria nemorum	present	native
Puccinia argentata (Schultz) G. Winter 	111	3	12	VIII.1898	30.IV.1995	1898-08/1995-04-30	species	Pucciniaceae	parasite of: Adoxa moschatellina| parasite of: Impatiens noli-tangere	present	native
Puccinia asparagi DC. 	112	3	13	X.1886		1886-10	species	Pucciniaceae	parasite of: Asparagus officinalis	present	
Puccinia behenis G.H.Otth 	113	3	13	09.XI.1999		1999-11-09	species	Pucciniaceae	parasite of: Silene dioica| parasite of: Silene latifolia subsp. alba	present	
Puccinia betonicae (Alb. & Schwein.) DC. 	114	3	13		07.V.2010	2010-05-07	species	Pucciniaceae	parasite of: Stachys officinalis	present	
Puccinia bistortae DC. 	115	3	13	22.VIII.1856	07.VII.2007	1856-08-22/2007-07-07	species	Pucciniaceae	parasite of: Angelica| parasite of: Carum| parasite of: Conopodium| parasite of: Persicaria bistorta	present	native
